Pipeline,Type,Affected Parameter,Formula,Reasoning
C/Pydantic,Between 0 and 1,frfossilfuel_heat,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,frfossilfuel_nonheat,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,faut,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,to_bldgs,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,to_bsoil,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,to_dectr,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,to_evetr,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,to_grass,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,to_paved,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,to_runoff,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,to_soilstore,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,to_water,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,InternalMassEmissivity,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,RatioInternalVolume,"[0,1]",Ratio.
C/Pydantic,Between 0 and 1,RoofAbsorbtivity,"[0,1]",Absorbtivity.
C/Pydantic,Between 0 and 1,RoofExternalEmissivity,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,RoofInternalEmissivity,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,RoofReflectivity,"[0,1]",Reflectivity.
C/Pydantic,Between 0 and 1,RoofTransmissivity,"[0,1]",Transmissivity.
C/Pydantic,Between 0 and 1,RoofOuterCapFrac,"[0,1]",Weighting Factor.
C/Pydantic,Between 0 and 1,WWR,"[0,1]",Ratio.
C/Pydantic,Between 0 and 1,WallAbsorbtivity,"[0,1]",Absorbtivity.
C/Pydantic,Between 0 and 1,WallExternalEmissivity,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,WallInternalEmissivity,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,WallReflectivity,"[0,1]",Reflectivity.
C/Pydantic,Between 0 and 1,WallTransmissivity,"[0,1]",Transmissivity.
C/Pydantic,Between 0 and 1,WallOuterCapFrac,"[0,1]",Weighting Factor.
C/Pydantic,Between 0 and 1,WindowAbsorbtivity,"[0,1]",Absorbtivity.
C/Pydantic,Between 0 and 1,WindowExternalEmissivity,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,WindowInternalEmissivity,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,WindowReflectivity,"[0,1]",Reflectivity.
C/Pydantic,Between 0 and 1,WindowTransmissivity,"[0,1]",Transmissivity.
C/Pydantic,Between 0 and 1,drainrt,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,raincover,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,air_ssa_lw,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,air_ssa_sw,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,veg_ssa_lw,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,veg_ssa_sw,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,runofftowater,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,crwmax,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,crwmin,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,narp_emis_snow,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,snowalbmax,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,snowalbmin,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,ApplianceUsageFactor,"[0,1]",Ratio.
C/Pydantic,Between 0 and 1,DHWVesselWallEmissivity,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,HeatingSystemEfficiency,"[0,1]",Efficiency.
C/Pydantic,Between 0 and 1,HotWaterHeatingEfficiency,"[0,1]",Efficiency.
C/Pydantic,Between 0 and 1,HotWaterTankBuildingWallViewFactor,"[0,1]",View factor.
C/Pydantic,Between 0 and 1,HotWaterTankInternalMassViewFactor,"[0,1]",View factor.
C/Pydantic,Between 0 and 1,HotWaterTankWallEmissivity,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,emis,"[0,1]",Emissivity.
C/Pydantic,Between 0 and 1,sfr,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,alb_max,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,alb_min,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,porosity_id,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,alb_id,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,snowalb,"[0,1]",Albedo.
C/Pydantic,Between 0 and 1,icefrac,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,snowfrac,"[0,1]",Fraction.
C/Pydantic,Between 0 and 1,alb,"[0,1]",Albedo.
C/Pydantic,Non negative,popdensnighttime,,Density.
C/Pydantic,Non negative,store_cap,,Capacity.
C/Pydantic,Non negative,store_max,,Capacity.
C/Pydantic,Non negative,store_min,,Capacity.
C/Pydantic,Non negative,MaxHeatingPower,,Power.
C/Pydantic,Non negative,ground_albedo_dir_mult_fact,,Scaling factor.
C/Pydantic,Non negative,lambda_c,, Rate.
C/Pydantic,Non negative,preciplimitalb,,Threshold on a non‑negative quantity (precipitation rate)
C/Pydantic,Non negative,ApplianceRating,,Rating.
C/Pydantic,Non negative,CoolingSystemCOP,,Ratio of non-negative numerator and denominator.
C/Pydantic,Non negative,DHWDrainFlowRate,,Rate.
C/Pydantic,Non negative,HotWaterFlowRate,,Rate.
C/Pydantic,Non negative,LatentSensibleRatio,,Ratio of two non‑negative fluxes.
C/Pydantic,Non negative,MaxCoolingPower,,Power.
C/Pydantic,Non negative,MetabolicRate,,Rate.
C/Pydantic,Non negative,MinimumVolumeOfDHWinUse,,Volume.
C/Pydantic,Non negative,TotalNumberofAppliances,,Count.
C/Pydantic,Non negative,VentilationRate,,Rate.
C/Pydantic,Non negative,decidcap_id,,Capacity.
C/Pydantic,Non negative,snowdens,,Density.
C/Pydantic,Non negative,snowpack,,Depth.
