Pipeline,Type,Trigger logic,Validation logic,Validation rationale,Trigger parameters,Affected parameters
B,Conditional required,Always triggered,Validates that all critical physics model options parameters are present and non-null.,All physics model options must be set for running the model.,All model physics options ,All model physics options 
C/Pydantic,Conditional required,Always triggered,"Validates all site parameters are complete; runs site-by-site checks and conditional validations (STEBBS, RSL, storage).","Site parameters are fundamental for model runs, so must be present.",All model physics options; all site properties,All model physics options; all site properties
C/Pydantic,Conditional required,stebbsmethod == 1,All STEBBS parameters must be present and non-null when stebbsmethod==1.,"stebbsmethod==1 select STEBBS on, so all STEBBS parameters must be present.",stebbsmethod,All STEBBS-related parameters
C/Pydantic,Conditional required,rslmethod == 2 && bldgs.sfr > 0,"When rslmethod==2 and buildings present (bldgs.sfr > 0), faibldg parameter must be set.","When rslmethod==2, if buildings are present (bldgs.sfr >0), faibldg (building frontal area index) is required so roughness-sublayer energy exchanges can be calculated correctly. ",rslmethod; bldgs.sfr,faibldg
C/Pydantic,Conditional required,storageheatmethod == 6,"Validates that walls[0].thermal_layers contains non-empty numeric lists for dz, k and rho_cp; require properties.lambda_c to be set and non-null. ",***,storageheatmethod,"vertical_layers.walls[0].thermal_layers.dz; vertical_layers.walls[0].thermal_layers.k; vertical_layers.walls[0].thermal_layers.rho_cp, properties.lambda_c"
C/Pydantic,Conditional required,Always triggered,Validates that all critical physics model options parameters are present and non-null.,All physics model options must be set for running the model.,All model physics options ,All model physics options 
C/Pydantic,Conditional required,Always triggered,Critical site fields must be non-null and valid; enforces physical constraint z0m_in < zdm_in ,"Site parameters are fundamental for model runs, so must be present. The roughness inputs must satify z0m_in < zdm_in so the displacement height lies above the roughness length and the roughness profile remains physically consistent.",lat; lng; alt; timezone; surfacearea; z; z0m_in; zdm_in; pipecapacity; runofftowater; narp_trans_site,lat; lng; alt; timezone; surfacearea; z; z0m_in; zdm_in; pipecapacity; runofftowater; narp_trans_site
A,Cross parameters,model.physics present,Detects presence/absence (or renamed keys) of critical physics options early and add them to the updated YAML,All physics model options must be present for running the model.,All model physics options ,All model physics options 
A,Cross parameters,nlayer specified,"Validates vertical-layer array dimensions vs nlayer: veg_frac/veg_scale/building_frac/building_scale must have nlayer elements; height must have nlayer+1; roofs/walls must contain nlayer substructures. If too short, pads with nulls (or null-template substructures) and records dimension_errors; if too long, records error (does not trim).",Vertical-layer arrays must be coherent with nlayer value.,nlayer; veg_frac; veg_scale; building_frac; building_scale; height,nlayer; veg_frac; veg_scale; building_frac; building_scale; height
B,Cross parameters,Always triggered,Validates interdependency rules between physics model options: rslmethod==2 requires stabilitymethod==3; stabilitymethod==1 requires rslmethod present; storageheatmethod==1 requires ohmincqf==0 ,Enforces that coupled physics model options are used in combinations that the model actually supports and was designed for.,rslmethod; stabilitymethod; storageheatmethod; ohmincqf,rslmethod; stabilitymethod; storageheatmethod; ohmincqf
B,Cross parameters,Always triggered,"Validates that land_cover exists; sums surface fractions read from land_cover.sfr.value and checks sum ≈ 1.0 (tolerance abs(diff) > 1e-4; if sum == 0.0 reports error ""All surface fractions are zero or missing""; otherwise reports ERROR showing current sum and suggests adjusting the largest surface fraction (does not auto-correct). Collects active surfaces (sfr>0) and reports missing/incomplete surface parameters when detected",Land cover fractions must be set correctly for a model run.,All land cover surfaces,All land cover surfaces
