"Value","Comments"
0,"Uses values provided in the meteorological forcing file (SSss_YYYY_data_tt.txt) to calculate QF.
If you do not want to include QF to the calculation of surface energy balance, you should set values in the meteorological forcing file to zero to prevent calculation of QF.
UMEP provides two methods to calculate QF
LQF which is simpler
GQF which is more complete but requires more data inputs"
1,"|NotRecmd|
QF calculated according to :cite:t:`L11` using coefficients specified in `SUEWS_AnthropogenicEmission.txt`.
Modelled values will be used even if QF is provided in the meteorological forcing file. CO2 emission is not calculated."
2,"|Recmd|
QF calculated according to :cite:t:`J11` using coefficients specified in `SUEWS_AnthropogenicEmission.txt` and diurnal patterns specified in `SUEWS_Profiles.txt`.
Modelled values will be used even if QF is provided in the meteorological forcing file. CO2 emission is not calculated."
3,"Updated :cite:t:`L11` method using daily (not instantaneous) air temperature (HDD(id-1,3)) using coefficients specified in `SUEWS_AnthropogenicEmission.txt`. CO2 emission is not calculated."
4,"Detailed anthropogenic heat branch using the :cite:t:`L11` heat basis plus building, metabolism, and traffic components from `SUEWS_AnthropogenicEmission.txt` and `SUEWS_Profiles.txt`.
Modelled values will be used even if QF is provided in the meteorological forcing file. CO2 flux output is disabled for this non-biogenic code."
5,"Detailed anthropogenic heat branch using the :cite:t:`J11` heat basis plus building, metabolism, and traffic components from `SUEWS_AnthropogenicEmission.txt` and `SUEWS_Profiles.txt`.
Modelled values will be used even if QF is provided in the meteorological forcing file. CO2 flux output is disabled for this non-biogenic code."
6,"Detailed anthropogenic heat branch using the updated :cite:t:`L11` heat basis plus building, metabolism, and traffic components from `SUEWS_AnthropogenicEmission.txt` and `SUEWS_Profiles.txt`.
Modelled values will be used even if QF is provided in the meteorological forcing file. CO2 flux output is disabled for this non-biogenic code."
11-16,"|EXP| Rectangular hyperbola photosynthesis model with biogenic CO2.
The unit digit selects the heat/QF and anthropogenic CO2 mode: 1-3 use QF-linked anthropogenic CO2 with L11, J11, and L11_UPDATED heat; 4-6 use detailed anthropogenic CO2 with the same three heat methods.
Parameters from `SUEWS_BiogenCO2.txt`. Total Fc = Fc_anthro + Fc_biogen."
21-26,"|EXP| Non-rectangular hyperbola photosynthesis model following the local/Helsinki :cite:t:`B17` model.
The unit digit selects the same heat/QF and anthropogenic CO2 modes as 11-16.
Parameters from `SUEWS_BiogenCO2.txt`. Total Fc = Fc_anthro + Fc_biogen."
31-36,"|EXP| Non-rectangular hyperbola photosynthesis model following the general :cite:t:`B17` model.
The unit digit selects the same heat/QF and anthropogenic CO2 modes as 11-16.
Parameters from `SUEWS_BiogenCO2.txt`. Total Fc = Fc_anthro + Fc_biogen."
41-46,"|EXP| Conductance-based photosynthesis model following :cite:t:`J19`.
Biogenic CO2 is scaled by stomatal conductance (gfunc). The unit digit selects the same heat/QF and anthropogenic CO2 modes as 11-16.
Parameters from `SUEWS_BiogenCO2.txt`. Total Fc = Fc_anthro + Fc_biogen."
