Parameter Name,Path,Context/Description
alb_id,sites.0.initial_states.evetr.alb_id,Initial states
alb_id,sites.0.initial_states.dectr.alb_id,Initial states
alb_id,sites.0.initial_states.grass.alb_id,Initial states
snowalb,sites.0.initial_states.snowalb,Initial states
alb,sites.0.properties.land_cover.bsoil.alb,Land cover (bare soil)
alb,sites.0.properties.land_cover.bldgs.alb,Land cover (buildings)
alb,sites.0.properties.land_cover.dectr.alb,Land cover (deciduous trees)
alb_max,sites.0.properties.land_cover.dectr.alb_max,Land cover (deciduous trees)
alb_min,sites.0.properties.land_cover.dectr.alb_min,Land cover (deciduous trees)
alb,sites.0.properties.land_cover.evetr.alb,Land cover (evergreen trees)
alb_max,sites.0.properties.land_cover.evetr.alb_max,Land cover (evergreen trees)
alb_min,sites.0.properties.land_cover.evetr.alb_min,Land cover (evergreen trees)
alb,sites.0.properties.land_cover.grass.alb,Land cover (grass)
alb_max,sites.0.properties.land_cover.grass.alb_max,Land cover (grass)
alb_min,sites.0.properties.land_cover.grass.alb_min,Land cover (grass)
alb,sites.0.properties.land_cover.paved.alb,Land cover (paved)
alb,sites.0.properties.land_cover.water.alb,Land cover (water)
ground_albedo_dir_mult_fact,sites.0.properties.spartacus.ground_albedo_dir_mult_fact,Other
use_sw_direct_albedo,sites.0.properties.spartacus.use_sw_direct_albedo,Other
alb,sites.0.properties.vertical_layers.roofs.0.alb,SPARTACUS vertical layers (roofs)
alb,sites.0.properties.vertical_layers.roofs.1.alb,SPARTACUS vertical layers (roofs)
alb,sites.0.properties.vertical_layers.roofs.2.alb,SPARTACUS vertical layers (roofs)
roof_albedo_dir_mult_fact,sites.0.properties.vertical_layers.roofs.0.roof_albedo_dir_mult_fact,SPARTACUS vertical layers (roofs)
roof_albedo_dir_mult_fact,sites.0.properties.vertical_layers.roofs.1.roof_albedo_dir_mult_fact,SPARTACUS vertical layers (roofs)
roof_albedo_dir_mult_fact,sites.0.properties.vertical_layers.roofs.2.roof_albedo_dir_mult_fact,SPARTACUS vertical layers (roofs)
alb,sites.0.properties.vertical_layers.walls.0.alb,SPARTACUS vertical layers (walls)
alb,sites.0.properties.vertical_layers.walls.1.alb,SPARTACUS vertical layers (walls)
alb,sites.0.properties.vertical_layers.walls.2.alb,SPARTACUS vertical layers (walls)
roof_albedo_dir_mult_fact,sites.0.properties.vertical_layers.walls.0.roof_albedo_dir_mult_fact,SPARTACUS vertical layers (walls)
roof_albedo_dir_mult_fact,sites.0.properties.vertical_layers.walls.1.roof_albedo_dir_mult_fact,SPARTACUS vertical layers (walls)
roof_albedo_dir_mult_fact,sites.0.properties.vertical_layers.walls.2.roof_albedo_dir_mult_fact,SPARTACUS vertical layers (walls)
preciplimitalb,sites.0.properties.snow.preciplimitalb,Snow parameters
snowalbmax,sites.0.properties.snow.snowalbmax,Snow parameters
snowalbmin,sites.0.properties.snow.snowalbmin,Snow parameters
