Parameter Name,Path,Context/Description
emis,sites.0.properties.land_cover.bsoil.emis,Land cover (bare soil)
emis,sites.0.properties.land_cover.bldgs.emis,Land cover (buildings)
emis,sites.0.properties.land_cover.dectr.emis,Land cover (deciduous trees)
emis,sites.0.properties.land_cover.evetr.emis,Land cover (evergreen trees)
emis,sites.0.properties.land_cover.grass.emis,Land cover (grass)
emis,sites.0.properties.land_cover.paved.emis,Land cover (paved)
emis,sites.0.properties.land_cover.water.emis,Land cover (water)
emis,sites.0.properties.vertical_layers.roofs.0.emis,SPARTACUS vertical layers (roofs)
emis,sites.0.properties.vertical_layers.roofs.1.emis,SPARTACUS vertical layers (roofs)
emis,sites.0.properties.vertical_layers.roofs.2.emis,SPARTACUS vertical layers (roofs)
emis,sites.0.properties.vertical_layers.walls.0.emis,SPARTACUS vertical layers (walls)
emis,sites.0.properties.vertical_layers.walls.1.emis,SPARTACUS vertical layers (walls)
emis,sites.0.properties.vertical_layers.walls.2.emis,SPARTACUS vertical layers (walls)
DHWVesselEmissivity,sites.0.properties.stebbs.DHWVesselEmissivity,STEBBS building model
DHWVesselWallEmissivity,sites.0.properties.stebbs.DHWVesselWallEmissivity,STEBBS building model
HotWaterTankWallEmissivity,sites.0.properties.stebbs.HotWaterTankWallEmissivity,STEBBS building model
InternalMassEmissivity,sites.0.properties.building_archetype.InternalMassEmissivity,STEBBS building model
WallExternalEmissivity,sites.0.properties.building_archetype.WallExternalEmissivity,STEBBS building model
WallInternalEmissivity,sites.0.properties.building_archetype.WallInternalEmissivity,STEBBS building model
WindowExternalEmissivity,sites.0.properties.building_archetype.WindowExternalEmissivity,STEBBS building model
WindowInternalEmissivity,sites.0.properties.building_archetype.WindowInternalEmissivity,STEBBS building model
