param_name,file_location,in_sample_config,sample_config_location,unit
cdd_accum,state.py:621,No,,degC
cdd_daily,state.py:677,No,,degC
days_since_rain,state.py:713,No,,days
days_since_rain_accum,state.py:657,No,,days
diagnose,model.py:667,Yes,diagnose,
dqndt,state.py:815,Yes,dqndt,
dqnsdt,state.py:820,Yes,dqnsdt,
dt_since_start,state.py:825,Yes,dt_since_start,
hdd_accum,state.py:612,No,,degC
hdd_daily,state.py:668,No,,degC
kdownzen,model.py:657,No,,
lenday_id,state.py:830,Yes,lenday_id,
precip_accum,state.py:648,No,,mm
precip_daily_total,state.py:704,No,,mm
qn_av,state.py:835,Yes,qn_av,
qn_s_av,state.py:843,Yes,qn_s_av,
snowfallcum,state.py:877,Yes,snowfallcum,
temp_5day_accum,state.py:639,No,,degC
temp_5day_mean,state.py:695,No,,degC
temp_accum,state.py:630,No,,degC
temp_daily_mean,state.py:686,No,,degC
tmax_id,state.py:856,Yes,tmax_id,
tmin_id,state.py:864,Yes,tmin_id,
tstep_prev,state.py:872,Yes,tstep_prev,
